Gene symbol	function	property	product	feature_id	patric_id	identity	e_value
fig|562.19188.peg.4968	the large conductance mechanosensitive ion channel (mscl) family.	Transporter	Large-conductance mechanosensitive channel	PATRIC.562.19188.NSEE01000178.CDS.16751.17161.rev	fig|562.19188.peg.4968	100	1e-69
fig|562.19188.peg.4838	Phosphoenolpyruvate;{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid;3-Fluoro-2-(Phosphonooxy)Propanoic Acid;1-Deoxy-Ribofuranose-5'-Phosphate	Drug Target	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	PATRIC.562.19188.NSEE01000160.CDS.49406.50260.rev	fig|562.19188.peg.4838	100	1e-162
fig|562.19188.peg.5243		Virulence Factor	PTS system, galactosamine-specific IIB component	PATRIC.562.19188.NSEE01000219.CDS.2577.3053.rev	fig|562.19188.peg.5243	98	5e-85
fig|562.19188.peg.2458	the atp-binding cassette (abc) superfamily.	Transporter	Histidine ABC transporter, permease protein HisQ (TC 3.A.1.3.1)	PATRIC.562.19188.NSEE01000130.CDS.18093.18779.rev	fig|562.19188.peg.2458	99	1e-124
fig|562.19188.peg.3324		Virulence Factor	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	PATRIC.562.19188.NSEE01000429.CDS.1.492.fwd	fig|562.19188.peg.3324	87	3e-82
fig|562.19188.peg.3711	the dicarboxylate/amino acid:cation (na(+) or h(+)) symporter (daacs) family.	Transporter	L-cystine uptake protein TcyP, sodium:anion symporter family	PATRIC.562.19188.NSEE01000149.CDS.34973.36133.fwd	fig|562.19188.peg.3711	99	1e-211
fig|562.19188.peg.5099	the gluconate:h(+) symporter (gntp) family.	Transporter	D-serine permease DsdX	PATRIC.562.19188.NSEE01000128.CDS.16008.16226.fwd	fig|562.19188.peg.5099	100	4e-34
fig|562.19188.peg.3665		Virulence Factor	hypothetical protein	PATRIC.562.19188.NSEE01000446.CDS.1.255.rev	fig|562.19188.peg.3665	96	3e-45
fig|562.19188.peg.921	the pts glucose-glucoside (glc) family.	Transporter	PTS system, glucose-specific IIC component / PTS system, glucose-specific IIB component (EC 2.7.1.199)	PATRIC.562.19188.NSEE01000413.CDS.9653.11086.rev	fig|562.19188.peg.921	100	1e-276
fig|562.19188.peg.4951	Tigecycline;Tetracycline	Drug Target	SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-independent	PATRIC.562.19188.NSEE01000178.CDS.8301.8606.fwd	fig|562.19188.peg.4951	99	6e-51
fig|562.19188.peg.5025		Virulence Factor	Lysine/cadaverine antiporter membrane protein CadB	PATRIC.562.19188.NSEE01000230.CDS.2213.3547.fwd	fig|562.19188.peg.5025	90	1e-236
fig|562.19188.peg.5025	the amino acid-polyamine-organocation (apc) family.	Transporter	Lysine/cadaverine antiporter membrane protein CadB	PATRIC.562.19188.NSEE01000230.CDS.2213.3547.fwd	fig|562.19188.peg.5025	100	1e-258
fig|562.19188.peg.3907		Virulence Factor	RNA polymerase sigma factor RpoS	PATRIC.562.19188.NSEE01000222.CDS.19492.20484.fwd	fig|562.19188.peg.3907	99	1e-184
fig|562.19188.peg.1409		Virulence Factor	General secretion pathway protein C	PATRIC.562.19188.NSEE01000207.CDS.23362.24321.rev	fig|562.19188.peg.1409	93	1e-145
fig|562.19188.peg.4324	the ompa-ompf porin (oop) family.	Transporter	Integral membrane protein YfiB	PATRIC.562.19188.NSEE01000060.CDS.12670.13152.fwd	fig|562.19188.peg.4324	99	2e-87
fig|562.19188.peg.4871	the disulfide bond oxidoreductase b (dsbb) family.	Transporter	Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation	PATRIC.562.19188.NSEE01000160.CDS.85468.85998.fwd	fig|562.19188.peg.4871	100	1e-101
fig|562.19188.peg.2721		Virulence Factor	Argininosuccinate synthase (EC 6.3.4.5)	PATRIC.562.19188.NSEE01000263.CDS.31502.32845.fwd	fig|562.19188.peg.2721	82	1e-187
fig|562.19188.peg.744	the atp-binding cassette (abc) superfamily.	Transporter	ABC-type efflux pump membrane fusion component YbhG	PATRIC.562.19188.NSEE01000181.CDS.2434.3429.fwd	fig|562.19188.peg.744	99	1e-186
fig|562.19188.peg.2839	N-(2-OXOTETRAHYDROFURAN-3-YL)OCTANAMIDE	Drug Target	N-(3-oxohexanoyl)-L-homoserine lactone-binding transcriptional activator @ N-(3-oxooctanoyl)-L-homoserine lactone-binding transcriptional activator	PATRIC.562.19188.NSEE01000190.CDS.9474.10196.rev	fig|562.19188.peg.2839	98	1e-136
fig|562.19188.peg.4963	Rifabutin	Drug Target	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	PATRIC.562.19188.NSEE01000178.CDS.14156.15145.fwd	fig|562.19188.peg.4963	100	1e-185
fig|562.19188.peg.2954		Virulence Factor	Uncharacterized outer membrane protein YpjA	PATRIC.562.19188.NSEE01000204.CDS.46.366.rev	fig|562.19188.peg.2954	94	7e-48
fig|562.19188.peg.2665	Trinitrotoluene;Cyclohexanone;Isopentyl Pyrophosphate;Riboflavin Monophosphate;2,4,6-Trinitrophenol;2,4-Dinitrophenol;ANDROSTA-1,4-DIENE-3,17-DIONE	Drug Target	N-ethylmaleimide reductase	PATRIC.562.19188.NSEE01000387.CDS.17849.18946.fwd	fig|562.19188.peg.2665	87	1e-187
fig|562.19188.peg.1929	Norleucine Phosphonate;Methionine Phosphonate;5-(2-Chlorophenyl)Furan-2-Carboxylic Acid;Trifluoromethionine;Methionine Phosphinate;5-[2-(TRIFLUOROMETHOXY)PHENYL]-2-FUROIC ACID;5-(2-CHLORO-4-NITROPHENYL)-2-FUROIC ACID;5-(2-CHLOROBENZYL)-2-FUROIC ACID;5-(2-METHOXYPHENYL)-2-FUROIC ACID;5-(2-NITROPHENYL)-2-FUROIC ACID;N1-CYCLOPENTYL-N2-(THIAZOL-2-YL)OXALAMIDE;5-(2,5-DICHLOROPHENYL)-2-FUROIC ACID;5-[2-(TRIFLUOROMETHYL)PHENYL]-2-FUROIC ACID;N-(QUINOLIN-8-YL)METHANESULFONAMIDE;5-imino-4-(3-trifluoromethyl-phenylazo)-5H-pyrazol-3-ylamine;4-(4-fluoro-phenylazo)-5-imino-5H-pyrazol-3-ylamine; 3-(5-amino-3-imino-3H-pyrazol-4-ylazo)-benzoic acid;METHYL N-[(2S,3R)-3-AMINO-2-HYDROXY-3-(4-METHYLPHENYL)PROPANOYL]-D-ALANYL-D-LEUCINATE;METHYL N-[(2S,3R)-3-AMINO-2-HYDROXY-3-(4-ISOPROPYLPHENYL)PROPANOYL]-D-ALANYL-D-LEUCINATE;5-IMINO-4-(2-TRIFLUOROMETHYL-PHENYLAZO)-5H-PYRAZOL-3-YLAMINE;4-(3-ethylthiophen-2-yl)benzene-1,2-diol;5-(2-chlorophenyl)furan-2-carbohydrazide;IMIDAZO[2,1-A]ISOQUINOLINE-2-CARBOHYDRAZIDE	Drug Target	Methionine aminopeptidase (EC 3.4.11.18)	PATRIC.562.19188.NSEE01000138.CDS.26318.27112.rev	fig|562.19188.peg.1929	100	1e-153
fig|562.19188.peg.452	Rifabutin;Rifampicin	Drug Target	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	PATRIC.562.19188.NSEE01000177.CDS.539.4762.rev	fig|562.19188.peg.452	100	0.0
fig|562.19188.peg.3364	the atp-binding cassette (abc) superfamily.	Transporter	Nickel ABC transporter, substrate-binding protein NikA (TC 3.A.1.5.3)	PATRIC.562.19188.NSEE01000129.CDS.27742.29316.fwd	fig|562.19188.peg.3364	99	1e-309
fig|562.19188.peg.5498		Antibiotic Resistance	Outer membrane channel TolC (OpmH)	PATRIC.562.19188.NSEE01000270.CDS.12925.14406.fwd	fig|562.19188.peg.5498		
fig|562.19188.peg.5410		Drug Target	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	PATRIC.562.19188.NSEE01000102.CDS.14471.16198.fwd	fig|562.19188.peg.5410	99	0.0
fig|562.19188.peg.4997	the aromatic acid exporter (arae) family.	Transporter	Inner membrane protein YeeA	PATRIC.562.19188.NSEE01000097.CDS.2.613.rev	fig|562.19188.peg.4997	100	1e-102
fig|562.19188.peg.4853	the autotransporter-1 (at-1) family.	Transporter	Uncharacterized protein YcgV	PATRIC.562.19188.NSEE01000160.CDS.62545.65412.fwd	fig|562.19188.peg.4853	99	0.0
fig|562.19188.peg.358	Phosphonoacetic Acid;Mercaptomethyl Phosphonate;Serine Vanadate;Phosphonoserine	Drug Target	Alkaline phosphatase (EC 3.1.3.1)	PATRIC.562.19188.NSEE01000227.CDS.85.1368.fwd	fig|562.19188.peg.358	99	1e-240
fig|562.19188.peg.1481	6-Phosphogluconic Acid;Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	Drug Target	Gluconokinase (EC 2.7.1.12)	PATRIC.562.19188.NSEE01000182.CDS.4455.4982.fwd	fig|562.19188.peg.1481	100	5e-97
fig|562.19188.peg.3803	Glycinamide Ribonucleotide;Phosphothiophosphoric Acid-Adenylate Ester;3[N-Morpholino]Propane Sulfonic Acid;Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate;Phosphoaminophosphonic Acid-Adenylate Ester	Drug Target	Formate-dependent phosphoribosylglycinamide formyltransferase	PATRIC.562.19188.NSEE01000150.CDS.25566.26744.fwd	fig|562.19188.peg.3803	99	1e-221
fig|562.19188.peg.170	S-Mercaptocysteine	Drug Target	3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2)	PATRIC.562.19188.NSEE01000131.CDS.22774.23619.fwd	fig|562.19188.peg.170	100	1e-164
fig|562.19188.peg.3492	2-(N-Morpholino)-Ethanesulfonic Acid	Drug Target	33 kDa chaperonin HslO	PATRIC.562.19188.NSEE01000256.CDS.50667.51545.rev	fig|562.19188.peg.3492	99	1e-170
fig|562.19188.peg.3952	the h(+)- or na(+)-translocating bacterial flagellar motor/exbbd outer membrane transport energizer (mot/exb) superfamily.	Transporter	Flagellar motor rotation protein MotB	PATRIC.562.19188.NSEE01000166.CDS.2631.3557.fwd	fig|562.19188.peg.3952	99	1e-174
fig|562.19188.peg.4960	Tigecycline	Drug Target	SSU ribosomal protein S13p (S18e)	PATRIC.562.19188.NSEE01000178.CDS.12714.13070.fwd	fig|562.19188.peg.4960	100	2e-60
fig|562.19188.peg.2657		Virulence Factor	Transcriptional regulator SlyA	PATRIC.562.19188.NSEE01000387.CDS.11580.12014.rev	fig|562.19188.peg.2657	91	9e-67
fig|562.19188.peg.1469		Virulence Factor	RidA/YER057c/UK114 superfamily, group 7, YjgH-like protein	PATRIC.562.19188.NSEE01000287.CDS.2488.2883.rev	fig|562.19188.peg.1469	84	8e-58
fig|562.19188.peg.2023	the monovalent cation:proton antiporter-2 (cpa2) family.	Transporter	Glutathione-regulated potassium-efflux system protein KefC	PATRIC.562.19188.NSEE01000208.CDS.18587.20449.fwd	fig|562.19188.peg.2023	99	0.0
fig|562.19188.peg.1923		Virulence Factor	HtrA protease/chaperone protein	PATRIC.562.19188.NSEE01000138.CDS.19207.20631.fwd	fig|562.19188.peg.1923	100	1e-267
fig|562.19188.peg.5352		Virulence Factor	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	PATRIC.562.19188.NSEE01000023.CDS.6932.9658.fwd	fig|562.19188.peg.5352	94	0.0
fig|562.19188.peg.4091		Virulence Factor	[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22)	PATRIC.562.19188.NSEE01000079.CDS.75540.76598.fwd	fig|562.19188.peg.4091	88	1e-173
fig|562.19188.peg.1635	GE-2270A;Guanosine-5'-Diphosphate	Drug Target	Translation elongation factor Tu	PATRIC.562.19188.NSEE01000032.CDS.4515.4850.fwd	fig|562.19188.peg.1635	100	2e-60
fig|562.19188.peg.43		Antibiotic Resistance	Multidrug efflux system EmrAB-OMF, inner-membrane proton/drug antiporter EmrB (MFS type)	PATRIC.562.19188.NSEE01000186.CDS.8704.10242.fwd	fig|562.19188.peg.43	100	1e-300
fig|562.19188.peg.5348	the h(+) or na(+)-translocating nadh dehydrogenase (ndh) family.	Transporter	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	PATRIC.562.19188.NSEE01000023.CDS.2484.3146.fwd	fig|562.19188.peg.5348	100	1e-128
fig|562.19188.peg.2379	the major facilitator superfamily (mfs).	Transporter	Multidrug efflux pump MdtL (of MFS type)	PATRIC.562.19188.NSEE01000147.CDS.19766.20941.rev	fig|562.19188.peg.2379	99	1e-218
fig|562.19188.peg.2841	the atp-binding cassette (abc) superfamily.	Transporter	L-cystine ABC transporter (wide substrate range), permease protein YecS	PATRIC.562.19188.NSEE01000190.CDS.11175.11843.rev	fig|562.19188.peg.2841	99	1e-121
fig|562.19188.peg.2291		Antibiotic Resistance	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)	PATRIC.562.19188.NSEE01000350.CDS.15667.16389.rev	fig|562.19188.peg.2291	99	1e-137
fig|562.19188.peg.2022	the monovalent cation:proton antiporter-2 (cpa2) family.	Transporter	Glutathione-regulated potassium-efflux system ancillary protein KefF	PATRIC.562.19188.NSEE01000208.CDS.18064.18594.fwd	fig|562.19188.peg.2022	100	1e-107
fig|562.19188.peg.233		Antibiotic Resistance	Lipid A phosphoethanolamine transferase EptA/PmrC (EC 2.7.8.43)	PATRIC.562.19188.NSEE01000104.CDS.6987.8630.rev	fig|562.19188.peg.233	99	0.0
fig|562.19188.peg.408	the proton-translocating cytochrome oxidase (cox) superfamily.	Transporter	Cytochrome O ubiquinol oxidase subunit IV (EC 1.10.3.-)	PATRIC.562.19188.NSEE01000227.CDS.48144.48473.rev	fig|562.19188.peg.408	100	1e-57
fig|562.19188.peg.2027		Virulence Factor	SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)	PATRIC.562.19188.NSEE01000208.CDS.22427.23248.rev	fig|562.19188.peg.2027	81	1e-124
fig|562.19188.peg.3602	Coenzyme A;Dephospho Coenzyme A;4'-Phosphopantetheine	Drug Target	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	PATRIC.562.19188.NSEE01000279.CDS.30801.31280.rev	fig|562.19188.peg.3602	100	4e-86
fig|562.19188.peg.2950	the pts lactose-n,n'-diacetylchitobiose-_-glucoside (lac) family.	Transporter	PTS system, N,N'-diacetylchitobiose-specific IIB component (EC 2.7.1.196)	PATRIC.562.19188.NSEE01000122.CDS.44249.44569.fwd	fig|562.19188.peg.2950	100	1e-52
fig|562.19188.peg.4171	the iron/lead transporter (ilt) family.	Transporter	Ferrous iron transport permease EfeU	PATRIC.562.19188.NSEE01000099.CDS.20166.20996.fwd	fig|562.19188.peg.4171	98	1e-152
fig|562.19188.peg.1559	the amino acid-polyamine-organocation (apc) family.	Transporter	Aromatic amino acid transport protein AroP	PATRIC.562.19188.NSEE01000244.CDS.35976.37346.rev	fig|562.19188.peg.1559	99	1e-264
fig|562.19188.peg.2311	the atp-binding cassette (abc) superfamily.	Transporter	Oligopeptide transport permease protein OppB-like @ Glutathione ABC transporter, permease protein GsiC	PATRIC.562.19188.NSEE01000350.CDS.35685.36605.rev	fig|562.19188.peg.2311	100	1e-174
fig|562.19188.peg.4407	Coenzyme A	Drug Target	Formyl-coenzyme A transferase (EC 2.8.3.16)	PATRIC.562.19188.NSEE01000417.CDS.3966.5216.rev	fig|562.19188.peg.4407	100	1e-250
fig|562.19188.peg.1810	the cida/lrga holin (cida/lrga holin) family.	Transporter	UPF0299 membrane protein YohJ	PATRIC.562.19188.NSEE01000054.CDS.139719.140117.rev	fig|562.19188.peg.1810	99	2e-69
fig|562.19188.peg.5653		Transporter	UPF0057 membrane protein YqaE	PATRIC.562.19188.NSEE01000188.CDS.13804.13962.rev	fig|562.19188.peg.5653	100	6e-24
fig|562.19188.peg.2769	the c4-dicarboxylate uptake c (dcuc) family.	Transporter	Putative cryptic C4-dicarboxylate transporter DcuD	PATRIC.562.19188.NSEE01000263.CDS.80560.81927.fwd	fig|562.19188.peg.2769	99	1e-252
fig|562.19188.peg.1264	the nucleobase:cation symporter-1 (ncs1) family.	Transporter	Cytosine permease	PATRIC.562.19188.NSEE01000377.CDS.30430.31689.fwd	fig|562.19188.peg.1264	99	1e-239
fig|562.19188.peg.1142	Pyridoxyl-Glutamic Acid-5'-Monophosphate;Glutaric Acid;4-Methyl Valeric Acid;2-Methylleucine	Drug Target	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	PATRIC.562.19188.NSEE01000191.CDS.53159.54088.rev	fig|562.19188.peg.1142	100	1e-181
fig|562.19188.peg.5565	the glycoside-pentoside-hexuronide (gph):cation symporter family.	Transporter	Glucuronide transporter UidB	PATRIC.562.19188.NSEE01000273.CDS.644.2017.rev	fig|562.19188.peg.5565	99	1e-263
fig|562.19188.peg.3362	the autoinducer-2 exporter (ai-2e) family (formerly the perm family, tc #9.b.22).	Transporter	UPF0118 inner membrane protein YhhT	PATRIC.562.19188.NSEE01000129.CDS.25940.26989.fwd	fig|562.19188.peg.3362	99	1e-196
fig|562.19188.peg.66	Guanosine-5'-Diphosphate	Drug Target	GDP-mannose mannosyl hydrolase	PATRIC.562.19188.NSEE01000294.CDS.2.403.fwd	fig|562.19188.peg.66	94	2e-71
fig|562.19188.peg.3538		Virulence Factor	Cyclic AMP receptor protein	PATRIC.562.19188.NSEE01000256.CDS.94537.95169.rev	fig|562.19188.peg.3538	99	1e-116
fig|562.19188.peg.4687		Virulence Factor	Transcriptional regulatory protein PhoP	PATRIC.562.19188.NSEE01000232.CDS.6430.7101.fwd	fig|562.19188.peg.4687	100	1e-123
fig|562.19188.peg.1057		Virulence Factor	Curli production assembly/transport component CsgE	PATRIC.562.19188.NSEE01000046.CDS.835.1224.fwd	fig|562.19188.peg.1057	92	2e-52
fig|562.19188.peg.1106		Drug Target	Adenylate cyclase (EC 4.6.1.1)	PATRIC.562.19188.NSEE01000191.CDS.14495.17041.rev	fig|562.19188.peg.1106	99	0.0
fig|562.19188.peg.2653	Riboflavin Monophosphate;Beta-Mercaptoethanol	Drug Target	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	PATRIC.562.19188.NSEE01000387.CDS.8541.9197.rev	fig|562.19188.peg.2653	99	1e-126
fig|562.19188.peg.4052	the atp-binding cassette (abc) superfamily.	Transporter	Glutamate/aspartate ABC transporter, permease protein GltK (TC 3.A.1.3.4)	PATRIC.562.19188.NSEE01000079.CDS.41461.42135.fwd	fig|562.19188.peg.4052	100	1e-121
fig|562.19188.peg.2580	the pts mannose-fructose-sorbose (man) family.	Transporter	PTS system, D-glucosaminate-specific IIA component (EC 2.7.1.203)	PATRIC.562.19188.NSEE01000063.CDS.9226.9654.fwd	fig|562.19188.peg.2580	87	1e-61
fig|562.19188.peg.5498		Antibiotic Resistance	Outer membrane channel TolC (OpmH)	PATRIC.562.19188.NSEE01000270.CDS.12925.14406.fwd	fig|562.19188.peg.5498	99	1e-278
fig|562.19188.peg.2198	the calcium transporter a (cata) (formerly the testis-enhanced gene transfer (tegt) family.	Transporter	Putative TEGT family carrier/transport protein	PATRIC.562.19188.NSEE01000136.CDS.16678.17337.fwd	fig|562.19188.peg.2198	100	1e-117
fig|562.19188.peg.431		Virulence Factor	ABC transporter ATP-binding protein YddA	PATRIC.562.19188.NSEE01000093.CDS.4441.6126.fwd	fig|562.19188.peg.431	99	0.0
